D4420;D4433;4U27;4U32;L4115;D4428
1084.42;2025.97;8.38;14.44;1.53;1196.55
1079.09;1996.73;8.62;12.28;1.53;1195.79
1078.29;1934.02;8.59;12.99;1.53;1193.78
1064.32;1889.67;8.59;14.83;1.52;1194.39
1059.64;1873.95;8.58;14.94;1.52;1191.27
1082.93;1848.39;8.3;15.05;1.52;1188.19
1076.24;1856.83;7.85;14.84;1.53;1183.87
1077.53;1875.39;6.95;14.84;1.52;1184.82
1079.56;1896.15;6.94;16.03;1.54;1184.03
1087.75;1916.8;6.94;18.74;1.53;1181.83
1090.56;1931.11;6.94;18.64;1.53;1186.06
1094.11;1971.53;6.94;18.65;1.53;1184.21
1104.3;1999.45;6.94;17.78;1.53;1181.49
1104.48;2025.85;6.94;15.77;1.53;1183.87
1097.79;2058.92;7.23;15.78;1.54;1189.54
1094.17;2048.78;7.87;15.79;1.53;1196.32
1096.82;2016.02;8.13;14.49;1.53;1197.48
1091.62;2012.34;9.13;13.46;1.55;1201.21
1089.67;1999.93;9.98;13.39;1.53;1202.18
1073.88;1965.26;9.96;12.25;1.53;1202.86
1070.64;1932;9.96;13.81;1.53;1204.07
1059.6;1886.96;9.96;13.81;1.53;1200.97
1054.3;1827.38;9.67;13.9;1.53;1187.88
1065.76;1777.47;5.89;15.05;1.54;1186.67
1086.14;1785.92;3.3;17.84;1.52;1182.1
1084.07;1826.88;1.39;18.93;1.53;1175.95
1096.53;1894.76;0.88;20.73;1.53;1172.41
1108.25;1939.36;0.87;21.22;1.52;1172.35
1114.09;1973.46;0.89;18.51;1.52;1177.65
1111.36;1992.7;0.87;17.34;1.53;1181.92
1112.99;2041.92;1.29;17.36;1.54;1182.06
1102.78;2069.16;3.4;17.36;1.54;1186.39
1110.33;2085.5;6.19;17.35;1.54;1193.55
1108.65;2089.47;8.54;17.32;1.53;1200.6
1096.98;2081.42;11.03;14.84;1.53;1201.82
1087.73;2067.82;12.08;13.96;1.54;1203.19
1086.4;2077.26;15.4;13.81;1.54;1210.29
1087.57;2062.95;16.42;12.28;1.53;1209.48
1094.14;2029.61;17.64;11.95;1.54;1216.36
1090.39;2011.38;17.64;14.08;1.53;1216.97
1076.84;1961.41;17.64;14.02;1.54;1216.33
1082.63;1900.05;17.63;10.73;1.53;1213.63
1079.08;1865.01;17.64;11.4;1.53;1209.09
1084.49;1810.32;16.34;12.44;1.52;1204.17
1080.68;1786.57;13.31;14.93;1.52;1195.01
1076.82;1827.25;10.96;18.02;1.53;1186.02
1089.48;1838.1;10.63;16.91;1.53;1181.35
1088.35;1846.4;9.27;18.3;1.53;1182.8
1084.63;1840.03;7.43;18.69;1.53;1181.55
1092.07;1852.38;6.14;18.74;1.53;1182.24
1087;1897.28;6.13;18.71;1.53;1182.05
1094.92;1939.03;6.11;17.97;1.54;1186.92
1102.6;1973.75;6.1;16.3;1.54;1190.81
1098.53;2006.48;6.1;16.26;1.53;1190.93
1105;2025.15;6.11;16.26;1.53;1189.67
1100.23;2048.05;6.11;16.24;1.53;1191.8
1093.01;2056.93;7.5;16.23;1.54;1193.92
1083.41;2041.62;8.97;13.44;1.54;1195.51
1074.36;2012.93;10.49;12.92;1.53;1201.87
1068.78;1990.16;10.87;12.9;1.54;1203.58
1074;1977.24;10.88;12.43;1.53;1202.66
1076.69;1943.3;10.87;12.42;1.53;1201.85
1079.19;1896.69;10.87;12.47;1.54;1199.2
1081.12;1879.53;10.86;12.5;1.53;1191.4
1073.76;1880.42;10.85;13.58;1.52;1187.8
1077.19;1879.37;10.43;16.24;1.52;1187.12
1086.42;1891.22;10.33;16.2;1.53;1188.53
1077.52;1913.54;10.33;16.19;1.53;1184.23
1078.1;1930.27;10.33;16.21;1.54;1179.86
1082.7;1919.74;10.33;16.27;1.53;1182.25
1075.03;1927.21;10.33;16.26;1.54;1184.62
1086.37;1934.33;10.33;16.2;1.54;1188.04
1085.34;1909.23;10.32;15.53;1.53;1189.8
1082.72;1906.94;9.71;13.93;1.54;1187.32
1081.25;1911;9.55;14.96;1.54;1187.05
1075.14;1917.4;9.55;17.34;1.53;1189.07
1082.89;1930.07;9.55;17.34;1.53;1188.37
1076.14;1930.16;9.55;17.38;1.53;1191.23
1081.91;1917.51;9.55;16.56;1.54;1193.39
1073.63;1905.16;8.86;14.46;1.54;1192.42
1065.36;1900.58;8.68;15.36;1.53;1187.59
1073.77;1877.52;7.83;17.51;1.53;1186.02
1077.5;1873.82;6.06;17.53;1.53;1181.48
1070.9;1865.39;4.62;17.42;1.53;1182.73
1074.83;1886.2;4.32;17.43;1.53;1178.59
1075.96;1891.17;4.32;17.46;1.53;1173.63
1083.17;1912.08;3.84;17.46;1.53;1179.13
1078.4;1925.51;3.71;18.3;1.54;1183.44
1082.3;1935.37;3.72;19.75;1.54;1181.12
1079.75;1951.73;3.72;20.67;1.52;1182.41
1082.85;1961.61;3.72;18.95;1.53;1184.99
1087.18;1986.89;3.72;18.92;1.53;1186.33
1091.36;2009.69;3.71;19;1.53;1187.01
1085.75;2022.25;3.7;18.92;1.54;1191.9
1088.05;2035.87;4.18;16.34;1.55;1193.06
1092.77;2031.66;5.28;16.47;1.54;1194.26
1087.45;2023.56;5.28;14.47;1.53;1193.73
1094;2018.95;6.32;14.32;1.54;1194.92
1101.29;2032.67;7.73;14.3;1.54;1199.44
1098.95;2016.59;8.8;14.28;1.53;1196.93
1102.68;2000.18;8.8;14.36;1.53;1205.25
1102.26;2001.26;9.4;14.29;1.53;1202.64
1090.1;2001.99;9.75;14.28;1.53;1198.9
1088.91;1986.28;10.2;14.3;1.53;1200.58
1087.71;1983.04;10.2;14.27;1.53;1200.17
1094.84;1974.32;10.19;14.26;1.53;1199.55
1101.47;1938.3;10.18;14.28;1.52;1197.71
1096.81;1922.02;10.16;14.54;1.53;1194.9
1093.29;1940.04;10.16;14.32;1.53;1195.27
1095.46;1962.49;10.17;14.25;1.53;1197.27
1093.61;1944.95;10.16;14.23;1.53;1196.93
1080.1;1907.96;10.16;14.31;1.53;1196.9
1083.78;1895.46;10.16;14.3;1.53;1194.03
1083.56;1889.21;10.16;14.33;1.53;1192.37
